step,time,old_pos,new_pos,step_pnl,portfolio_value
0,2023-04-27 01:59:00,[0. 0. 0. 0. 0.],[-0.09205668  0.31649345  0.03786524 -0.01984064  0.2397438 ],0.0,100000.0
1,2023-04-27 02:59:00,[-0.09205668  0.31649345  0.03786524 -0.01984064  0.2397438 ],[ 0.07125729  0.10267355 -0.16813861 -0.0678433   0.08008441],276.6709135694787,100276.67091356948
2,2023-04-27 03:59:00,[ 0.07125729  0.10267355 -0.16813861 -0.0678433   0.08008441],[-0.24602047  0.2850227  -0.0390696  -0.00620269  0.06663241],5.352118100617737,100282.0230316701
3,2023-04-27 04:59:00,[-0.24602047  0.2850227  -0.0390696  -0.00620269  0.06663241],[-0.2465398   0.36845568 -0.05085058 -0.00999167  0.11101891],-76.19170442630029,100205.83132724381
4,2023-04-27 05:59:00,[-0.2465398   0.36845568 -0.05085058 -0.00999167  0.11101891],[-0.12223221  0.29224482  0.08468404 -0.07564952  0.19462374],-59.03722234249287,100146.79410490132
5,2023-04-27 06:59:00,[-0.12223221  0.29224482  0.08468404 -0.07564952  0.19462374],[-0.07627517  0.04413149  0.0008057   0.01596187 -0.05993012],-126.55474507415596,100020.23935982716
6,2023-04-27 07:59:00,[-0.07627517  0.04413149  0.0008057   0.01596187 -0.05993012],[-0.03088418  0.15146516  0.0505667  -0.21735017  0.16039966],-1.0273389974711193,100019.21202082968
7,2023-04-27 08:59:00,[-0.03088418  0.15146516  0.0505667  -0.21735017  0.16039966],[ 0.07802286  0.08537115 -0.01671385 -0.21804087  0.13567837],93.95380170186216,100113.16582253155
8,2023-04-27 09:59:00,[ 0.07802286  0.08537115 -0.01671385 -0.21804087  0.13567837],[-0.10086377  0.16887467 -0.14712912 -0.01360862  0.0587304 ],-16.560171300553566,100096.60565123099
9,2023-04-27 10:59:00,[-0.10086377  0.16887467 -0.14712912 -0.01360862  0.0587304 ],[-0.1305535   0.28893837  0.04424152 -0.15083408  0.22302826],-33.65072979175289,100062.95492143923
10,2023-04-27 11:59:00,[-0.1305535   0.28893837  0.04424152 -0.15083408  0.22302826],[-0.01992496  0.11283386 -0.14311244  0.0801108  -0.01063333],-73.23594693294315,99989.7189745063
11,2023-04-27 12:59:00,[-0.01992496  0.11283386 -0.14311244  0.0801108  -0.01063333],[ 0.07776848  0.03900401 -0.05385237 -0.06225742  0.06922915],15.093435082918695,100004.81240958921
12,2023-04-27 13:59:00,[ 0.07776848  0.03900401 -0.05385237 -0.06225742  0.06922915],[-0.2292059   0.16661939 -0.08036032 -0.01430405  0.00291592],-54.23770871152429,99950.57470087768
13,2023-04-27 14:59:00,[-0.2292059   0.16661939 -0.08036032 -0.01430405  0.00291592],[0.07037435 0.01096688 0.07200594 0.09854519 0.02936236],-9.368415515919502,99941.20628536177
14,2023-04-27 15:59:00,[0.07037435 0.01096688 0.07200594 0.09854519 0.02936236],[ 0.02469078 -0.16443335 -0.286789   -0.04182598 -0.19894819],3.8007614955687687,99945.00704685734
15,2023-04-27 16:59:00,[ 0.02469078 -0.16443335 -0.286789   -0.04182598 -0.19894819],[ 0.12162068 -0.12182958 -0.18722121  0.12139336 -0.11512725],49.093843921980515,99994.10089077931
16,2023-04-27 17:59:00,[ 0.12162068 -0.12182958 -0.18722121  0.12139336 -0.11512725],[-0.13841374  0.3501545   0.02910971 -0.10128595  0.28035906],72.17533291412593,100066.27622369344
17,2023-04-27 18:59:00,[-0.13841374  0.3501545   0.02910971 -0.10128595  0.28035906],[-0.16988789  0.339758    0.005805   -0.20996995  0.26853114],162.4561156707287,100228.73233936417
18,2023-04-27 19:59:00,[-0.16988789  0.339758    0.005805   -0.20996995  0.26853114],[-0.20246121  0.26941055 -0.08790535  0.05472245  0.02806854],-42.03886817199842,100186.69347119218
19,2023-04-27 20:59:00,[-0.20246121  0.26941055 -0.08790535  0.05472245  0.02806854],[-0.05550835  0.32336777 -0.08406414 -0.03388093  0.17053066],26.56383092425081,100213.25730211643
20,2023-04-27 21:59:00,[-0.05550835  0.32336777 -0.08406414 -0.03388093  0.17053066],[-0.1454969   0.25013852  0.15166017 -0.07790538  0.17153604],-36.40553174299517,100176.85177037344
21,2023-04-27 22:59:00,[-0.1454969   0.25013852  0.15166017 -0.07790538  0.17153604],[-0.04108353 -0.02231808 -0.25947425  0.03491917 -0.2130089 ],-61.13751893715536,100115.71425143628
22,2023-04-27 23:59:00,[-0.04108353 -0.02231808 -0.25947425  0.03491917 -0.2130089 ],[ 0.09119917  0.1762673   0.05314075 -0.16954778  0.24873313],27.8109081468483,100143.52515958312
23,2023-04-28 00:59:00,[ 0.09119917  0.1762673   0.05314075 -0.16954778  0.24873313],[ 0.09333069  0.08124376  0.00124567 -0.19918743  0.24476303],88.0816470587061,100231.60680664182
24,2023-04-28 01:59:00,[ 0.09333069  0.08124376  0.00124567 -0.19918743  0.24476303],[-0.06966323  0.2506193  -0.04374734 -0.14060783  0.24984355],-78.33806519080528,100153.26874145101
25,2023-04-28 02:59:00,[-0.06966323  0.2506193  -0.04374734 -0.14060783  0.24984355],[ 0.03087329 -0.07472123 -0.29156986  0.16054669 -0.17948432],215.32094498027368,100368.58968643128
26,2023-04-28 03:59:00,[ 0.03087329 -0.07472123 -0.29156986  0.16054669 -0.17948432],[-0.13956118  0.39700398 -0.01182207 -0.06576313  0.28905794],18.070892487815406,100386.6605789191
27,2023-04-28 04:59:00,[-0.13956118  0.39700398 -0.01182207 -0.06576313  0.28905794],[ 0.08119486 -0.07759815 -0.15296492 -0.0291574  -0.07620853],-29.78510344254921,100356.87547547654
28,2023-04-28 05:59:00,[ 0.08119486 -0.07759815 -0.15296492 -0.0291574  -0.07620853],[-0.09077504  0.1272469  -0.25996098  0.00245984  0.01197322],117.32449237679337,100474.19996785333
29,2023-04-28 06:59:00,[-0.09077504  0.1272469  -0.25996098  0.00245984  0.01197322],[ 0.0521901  -0.02674843 -0.1587812  -0.06894033 -0.00704324],-107.83373558489146,100366.36623226844
30,2023-04-28 07:59:00,[ 0.0521901  -0.02674843 -0.1587812  -0.06894033 -0.00704324],[-0.16664122  0.23257406 -0.17260282  0.09959536  0.01102918],93.82824756016981,100460.19447982861
31,2023-04-28 08:59:00,[-0.16664122  0.23257406 -0.17260282  0.09959536  0.01102918],[ 0.09024613 -0.08363063 -0.13209938 -0.00379112 -0.10033928],12.168542682940794,100472.36302251155
32,2023-04-28 09:59:00,[ 0.09024613 -0.08363063 -0.13209938 -0.00379112 -0.10033928],[ 0.05671496  0.17654617 -0.08771939 -0.06713725  0.20179102],-2.265742531366379,100470.09727998018
33,2023-04-28 10:59:00,[ 0.05671496  0.17654617 -0.08771939 -0.06713725  0.20179102],[-0.11452661  0.05864226 -0.2672474  -0.08219519 -0.04036082],-61.555358272350595,100408.54192170783
34,2023-04-28 11:59:00,[-0.11452661  0.05864226 -0.2672474  -0.08219519 -0.04036082],[0.11920582 0.21543576 0.04472119 0.0003527  0.2133561 ],-25.513159063226695,100383.02876264461
35,2023-04-28 12:59:00,[0.11920582 0.21543576 0.04472119 0.0003527  0.2133561 ],[-0.04133881  0.12140833  0.11167166 -0.21859753  0.21987136],49.153739638487465,100432.18250228309
36,2023-04-28 13:59:00,[-0.04133881  0.12140833  0.11167166 -0.21859753  0.21987136],[ 0.16881901 -0.00297114 -0.225815    0.00127706  0.03055771],81.09236551784386,100513.27486780094
37,2023-04-28 14:59:00,[ 0.16881901 -0.00297114 -0.225815    0.00127706  0.03055771],[-0.1776653   0.33375785 -0.03995326 -0.1303356   0.2665819 ],-28.080412782614605,100485.19445501833
38,2023-04-28 15:59:00,[-0.1776653   0.33375785 -0.03995326 -0.1303356   0.2665819 ],[-0.01444118  0.1739952  -0.16328624 -0.00765081  0.07858536],108.03228828237997,100593.22674330071
39,2023-04-28 16:59:00,[-0.01444118  0.1739952  -0.16328624 -0.00765081  0.07858536],[ 0.08806179  0.02342264  0.02146189 -0.10053534  0.09703753],-63.17391070956687,100530.05283259114
40,2023-04-28 17:59:00,[ 0.08806179  0.02342264  0.02146189 -0.10053534  0.09703753],[ 0.06690512  0.13608007 -0.16044763  0.02273541  0.08632737],-81.73396585884353,100448.3188667323
41,2023-04-28 18:59:00,[ 0.06690512  0.13608007 -0.16044763  0.02273541  0.08632737],[-0.05109344  0.11949569 -0.36929914  0.10750059 -0.08473909],23.940530263769993,100472.25939699607
42,2023-04-28 19:59:00,[-0.05109344  0.11949569 -0.36929914  0.10750059 -0.08473909],[-0.20070988  0.29954666 -0.07749033  0.02264506  0.09732866],-68.60443935791001,100403.65495763817
43,2023-04-28 20:59:00,[-0.20070988  0.29954666 -0.07749033  0.02264506  0.09732866],[-0.24921277  0.22197749 -0.14334327  0.11765009 -0.03380835],-102.32514613857505,100301.32981149959
44,2023-04-28 21:59:00,[-0.24921277  0.22197749 -0.14334327  0.11765009 -0.03380835],[ 0.08350254  0.1616023   0.1981316  -0.07586024  0.23332256],48.04303036623927,100349.37284186583
45,2023-04-28 22:59:00,[ 0.08350254  0.1616023   0.1981316  -0.07586024  0.23332256],[-0.25734478  0.40073192 -0.06695803 -0.0548416   0.14321417],-79.56194016247844,100269.81090170336
46,2023-04-28 23:59:00,[-0.25734478  0.40073192 -0.06695803 -0.0548416   0.14321417],[-0.19061252  0.3939667  -0.15026623  0.05760794  0.09140135],-17.591955120389027,100252.21894658297
47,2023-04-29 00:59:00,[-0.19061252  0.3939667  -0.15026623  0.05760794  0.09140135],[-0.0831627   0.39692345 -0.15795279  0.08794371  0.19238017],20.565498185708737,100272.78444476868
48,2023-04-29 01:59:00,[-0.0831627   0.39692345 -0.15795279  0.08794371  0.19238017],[-0.2304013   0.13324445 -0.23626149  0.08553096 -0.09286534],-181.3888789924426,100091.39556577624
49,2023-04-29 02:59:00,[-0.2304013   0.13324445 -0.23626149  0.08553096 -0.09286534],[-0.06714049  0.2662323  -0.11359765 -0.05561481  0.15620793],-1.446529940192633,100089.94903583605
50,2023-04-29 03:59:00,[-0.06714049  0.2662323  -0.11359765 -0.05561481  0.15620793],[ 0.09470631  0.0675519  -0.16952483  0.00079229  0.08639085],34.30372852295601,100124.252764359
51,2023-04-29 04:59:00,[ 0.09470631  0.0675519  -0.16952483  0.00079229  0.08639085],[-0.08632336 -0.04552624 -0.09969267  0.04529657 -0.09328424],-37.13643593167591,100087.11632842732
52,2023-04-29 05:59:00,[-0.08632336 -0.04552624 -0.09969267  0.04529657 -0.09328424],[ 0.05148727  0.15231353  0.11124415 -0.03793754  0.13634002],-23.30479179911451,100063.8115366282
53,2023-04-29 06:59:00,[ 0.05148727  0.15231353  0.11124415 -0.03793754  0.13634002],[-0.0516439   0.2850437  -0.01401824 -0.141442    0.2488472 ],-1.2736173955347785,100062.53791923267
54,2023-04-29 07:59:00,[-0.0516439   0.2850437  -0.01401824 -0.141442    0.2488472 ],[ 0.0222214   0.09520623 -0.08719826 -0.10541987  0.13404185],11.639730688111207,100074.17764992078
55,2023-04-29 08:59:00,[ 0.0222214   0.09520623 -0.08719826 -0.10541987  0.13404185],[-0.11731611  0.13784473 -0.20974769 -0.00963591  0.00786134],27.025181448055505,100101.20283136884
56,2023-04-29 09:59:00,[-0.11731611  0.13784473 -0.20974769 -0.00963591  0.00786134],[-0.19098288  0.22538021 -0.27581978  0.13292235 -0.09035368],74.19903357598791,100175.40186494483
57,2023-04-29 10:59:00,[-0.19098288  0.22538021 -0.27581978  0.13292235 -0.09035368],[-0.14696267  0.31961998 -0.20094839  0.09238978  0.03418756],-62.67686462648617,100112.72500031834
58,2023-04-29 11:59:00,[-0.14696267  0.31961998 -0.20094839  0.09238978  0.03418756],[-0.19466713  0.20369162  0.02616535  0.04793875 -0.01245232],-24.97283183865065,100087.7521684797
59,2023-04-29 12:59:00,[-0.19466713  0.20369162  0.02616535  0.04793875 -0.01245232],[-0.22665352  0.14051995 -0.23957059  0.03428672 -0.12768196],-0.2820570173942052,100087.4701114623
60,2023-04-29 13:59:00,[-0.22665352  0.14051995 -0.23957059  0.03428672 -0.12768196],[ 0.01098816 -0.10067727 -0.25416768  0.01399178 -0.18146718],37.88442717830487,100125.3545386406
61,2023-04-29 14:59:00,[ 0.01098816 -0.10067727 -0.25416768  0.01399178 -0.18146718],[ 0.08359565  0.15442187 -0.03497948 -0.11068729  0.23114632],52.58809588541426,100177.94263452601
62,2023-04-29 15:59:00,[ 0.08359565  0.15442187 -0.03497948 -0.11068729  0.23114632],[-0.08169897  0.19721328 -0.04974918 -0.20436837  0.20519187],-82.46738502148835,100095.47524950452
