step,time,old_pos,new_pos,step_pnl,portfolio_value
24,2023-04-28 01:59:00,[-0.5],[-0.5],-31.051484106671126,99014.82430960794
25,2023-04-28 02:59:00,[-0.5],[-0.5],90.11115674348758,99104.93546635142
26,2023-04-28 03:59:00,[-0.5],[-0.5],-84.46407653732834,99020.47138981409
27,2023-04-28 04:59:00,[-0.5],[-0.5],109.71419416667572,99130.18558398077
28,2023-04-28 05:59:00,[-0.5],[-0.5],33.56642069636152,99163.75200467712
29,2023-04-28 06:59:00,[-0.5],[-0.5],19.748315942956793,99183.50032062008
30,2023-04-28 07:59:00,[-0.5],[-0.5],45.00083994074423,99228.50116056082
31,2023-04-28 08:59:00,[-0.5],[-0.5],114.05695514616788,99342.55811570698
32,2023-04-28 09:59:00,[-0.5],[-0.5],19.99278962541041,99362.55090533239
33,2023-04-28 10:59:00,[-0.5],[-0.5],25.86787358433874,99388.41877891673
34,2023-04-28 11:59:00,[-0.5],[-0.5],-187.0282178510385,99201.3905610657
35,2023-04-28 12:59:00,[-0.5],[-0.5],-99.22468515728532,99102.16587590841
36,2023-04-28 13:59:00,[-0.5],[-0.5],87.1520499955858,99189.31792590399
37,2023-04-28 14:59:00,[-0.5],[-0.5],-216.53233674936544,98972.78558915462
38,2023-04-28 15:59:00,[-0.5],[-0.5],-74.20096608690251,98898.58462306771
39,2023-04-28 16:59:00,[-0.5],[-0.5],-67.70967045783948,98830.87495260987
40,2023-04-28 17:59:00,[-0.5],[-0.5],-14.086344501263994,98816.7886081086
41,2023-04-28 18:59:00,[-0.5],[-0.5],73.26281745256736,98890.05142556118
42,2023-04-28 19:59:00,[-0.5],[-0.5],-208.25733425244962,98681.79409130872
43,2023-04-28 20:59:00,[-0.5],[-0.5],42.50431059393712,98724.29840190266
44,2023-04-28 21:59:00,[-0.5],[-0.5],-17.4730684405111,98706.82533346215
45,2023-04-28 22:59:00,[-0.5],[-0.5],-42.18191504497092,98664.64341841718
46,2023-04-28 23:59:00,[-0.5],[-0.5],-21.06039755831567,98643.58302085886
47,2023-04-29 00:59:00,[-0.5],[-0.5],-14.779533916821066,98628.80348694204
48,2023-04-29 01:59:00,[-0.5],[-0.5],61.73496638905874,98690.5384533311
49,2023-04-29 02:59:00,[-0.5],[-0.5],-36.00197808071414,98654.53647525038
50,2023-04-29 03:59:00,[-0.5],[-0.5],14.086474275009095,98668.6229495254
51,2023-04-29 04:59:00,[-0.5],[-0.5],90.29484866715954,98758.91779819256
52,2023-04-29 05:59:00,[-0.5],[-0.5],-51.766633915374385,98707.15116427718
53,2023-04-29 06:59:00,[-0.5],[-0.5],29.779655529725844,98736.9308198069
54,2023-04-29 07:59:00,[-0.5],[-0.5],62.31493880417439,98799.24575861108
55,2023-04-29 08:59:00,[-0.5],[-0.5],-9.407997680656024,98789.83776093043
56,2023-04-29 09:59:00,[-0.5],[-0.5],42.35942415970918,98832.19718509013
57,2023-04-29 10:59:00,[-0.5],[-0.5],-77.86060924737214,98754.33657584275
58,2023-04-29 11:59:00,[-0.5],[-0.5],-67.55882253142275,98686.77775331133
59,2023-04-29 12:59:00,[-0.5],[-0.5],32.01389160249924,98718.79164491383
60,2023-04-29 13:59:00,[-0.5],[-0.5],235.3528185318632,98954.14446344569
61,2023-04-29 14:59:00,[-0.5],[-0.5],24.652193481621296,98978.79665692731
62,2023-04-29 15:59:00,[-0.5],[-0.5],-30.856316855821788,98947.9403400715
63,2023-04-29 16:59:00,[-0.5],[-0.5],-11.341433401158554,98936.59890667033
64,2023-04-29 17:59:00,[-0.5],[-0.5],-115.12623547591637,98821.47267119442
65,2023-04-29 18:59:00,[-0.5],[-0.5],11.219518402793014,98832.69218959722
66,2023-04-29 19:59:00,[-0.5],[-0.5],53.94881776121686,98886.64100735844
67,2023-04-29 20:59:00,[-0.5],[-0.5],7.76120582879237,98894.40221318723
68,2023-04-29 21:59:00,[-0.5],[-0.5],-4.076951779753415,98890.32526140747
69,2023-04-29 22:59:00,[-0.5],[-0.5],41.45585775996331,98931.78111916744
70,2023-04-29 23:59:00,[-0.5],[-0.5],37.75338489184655,98969.5345040593
71,2023-04-30 00:59:00,[-0.5],[-0.5],-67.31497142833497,98902.21953263096
72,2023-04-30 01:59:00,[-0.5],[-0.5],-76.4119055155954,98825.80762711537
73,2023-04-30 02:59:00,[-0.5],[-0.5],-25.727059918635433,98800.08056719674
74,2023-04-30 03:59:00,[-0.5],[-0.5],-84.7917210207838,98715.28884617596
75,2023-04-30 04:59:00,[-0.5],[-0.5],9.897370122334834,98725.18621629829
76,2023-04-30 05:59:00,[-0.5],[-0.5],40.289949452109184,98765.4761657504
77,2023-04-30 06:59:00,[-0.5],[-0.5],-12.782788719501994,98752.6933770309
78,2023-04-30 07:59:00,[-0.5],[-0.5],-51.99034468919116,98700.70303234171
79,2023-04-30 08:59:00,[-0.5],[-0.5],21.903190734894338,98722.60622307661
80,2023-04-30 09:59:00,[-0.5],[-0.5],2.0792451553608515,98724.68546823197
81,2023-04-30 10:59:00,[-0.5],[-0.5],35.21084668485109,98759.89631491681
82,2023-04-30 11:59:00,[-0.5],[-0.5],-26.438277924724076,98733.45803699209
83,2023-04-30 12:59:00,[-0.5],[-0.5],-78.15007325333688,98655.30796373876
84,2023-04-30 13:59:00,[-0.5],[-0.5],1.3901269088056978,98656.69809064757
85,2023-04-30 14:59:00,[-0.5],[-0.5],-78.70982786439939,98577.98826278317
86,2023-04-30 15:59:00,[-0.5],[-0.5],-175.0771241010318,98402.91113868213
87,2023-04-30 16:59:00,[-0.5],[-0.5],20.203330913991522,98423.11446959613
