step,time,old_pos,new_pos,step_pnl,portfolio_value
0,2023-04-27 01:59:00,[0. 0.],[0.40957597 0.21968637],-62.92623281478882,99937.07376718521
1,2023-04-27 02:59:00,[0.40957597 0.21968637],[0.5        0.34839597],314.93728716808675,100252.0110543533
2,2023-04-27 03:59:00,[0.5        0.34839597],[0.5 0.5],-223.62464644911924,100028.38640790418
3,2023-04-27 04:59:00,[0.5 0.5],[0.5 0.5],-458.22469489791513,99570.16171300627
4,2023-04-27 05:59:00,[0.5 0.5],[0.5 0.5],-156.61981689727654,99413.54189610899
5,2023-04-27 06:59:00,[0.5 0.5],[0.5        0.43029952],-168.67440800568409,99244.86748810331
6,2023-04-27 07:59:00,[0.5        0.43029952],[0.5 0.5],-13.30325128231074,99231.564236821
7,2023-04-27 08:59:00,[0.5 0.5],[0.5 0.5],519.9529108949697,99751.51714771596
8,2023-04-27 09:59:00,[0.5 0.5],[0.5 0.5],176.21742571214185,99927.7345734281
9,2023-04-27 10:59:00,[0.5 0.5],[0.5 0.5],-34.769990904595076,99892.9645825235
10,2023-04-27 11:59:00,[0.5 0.5],[0.5 0.5],-151.7425234891978,99741.2220590343
11,2023-04-27 12:59:00,[0.5 0.5],[0.5 0.5],236.002378286313,99977.22443732062
12,2023-04-27 13:59:00,[0.5 0.5],[0.5 0.5],-337.32037615408433,99639.90406116654
13,2023-04-27 14:59:00,[0.5 0.5],[0.5        0.44927037],223.22915987359224,99863.13322104013
14,2023-04-27 15:59:00,[0.5        0.44927037],[0.5        0.47530395],-69.92500905775563,99793.20821198238
15,2023-04-27 16:59:00,[0.5        0.47530395],[0.5        0.46926102],-89.52626391574462,99703.68194806663
16,2023-04-27 17:59:00,[0.5        0.46926102],[0.5 0.5],-35.44084472386217,99668.24110334276
17,2023-04-27 18:59:00,[0.5 0.5],[0.5 0.5],302.04818801995214,99970.28929136271
18,2023-04-27 19:59:00,[0.5 0.5],[0.5 0.5],-186.0842637376092,99784.20502762511
19,2023-04-27 20:59:00,[0.5 0.5],[0.5 0.5],56.22895631773652,99840.43398394284
20,2023-04-27 21:59:00,[0.5 0.5],[0.5 0.5],25.716813992457972,99866.1507979353
21,2023-04-27 22:59:00,[0.5 0.5],[0.5 0.5],-7.6985883438873515,99858.45220959141
22,2023-04-27 23:59:00,[0.5 0.5],[0.5 0.5],70.97848563879296,99929.43069523021
23,2023-04-28 00:59:00,[0.5 0.5],[0.5 0.5],229.45213550329194,100158.8828307335
24,2023-04-28 01:59:00,[0.5 0.5],[0.5 0.5],-122.91540991125281,100035.96742082226
25,2023-04-28 02:59:00,[0.5 0.5],[0.5        0.46023932],372.39771512415945,100408.36513594641
26,2023-04-28 03:59:00,[0.5        0.46023932],[0.5 0.5],-42.02101799803965,100366.34411794838
27,2023-04-28 04:59:00,[0.5 0.5],[0.5        0.49371013],-104.97270581341496,100261.37141213496
28,2023-04-28 05:59:00,[0.5        0.49371013],[0.5 0.5],-239.0164895109844,100022.35492262398
29,2023-04-28 06:59:00,[0.5 0.5],[0.5 0.5],282.01553743247626,100304.37046005647
30,2023-04-28 07:59:00,[0.5 0.5],[0.5 0.5],-536.7231724495736,99767.64728760689
31,2023-04-28 08:59:00,[0.5 0.5],[0.5        0.49167594],114.51753181974553,99882.16481942663
32,2023-04-28 09:59:00,[0.5        0.49167594],[0.5 0.5],1.4961354001914486,99883.66095482682
33,2023-04-28 10:59:00,[0.5 0.5],[0.5 0.5],-86.53748591132214,99797.1234689155
34,2023-04-28 11:59:00,[0.5 0.5],[0.5 0.5],424.2504850076024,100221.3739539231
35,2023-04-28 12:59:00,[0.5 0.5],[0.5 0.5],46.134565392328426,100267.50851931544
36,2023-04-28 13:59:00,[0.5 0.5],[0.48900175 0.4961683 ],438.81813865907156,100706.32665797451
37,2023-04-28 14:59:00,[0.48900175 0.4961683 ],[0.5 0.5],-523.5194794612671,100182.80717851325
38,2023-04-28 15:59:00,[0.5 0.5],[0.5 0.5],158.6586008282853,100341.46577934154
39,2023-04-28 16:59:00,[0.5 0.5],[0.5 0.5],2.9695854073064254,100344.43536474885
