step,time,old_pos,new_pos,step_pnl,portfolio_value
45,2023-04-28 22:59:00,[-0.36226642 -0.35069403],[-0.19134569  0.10966689],185.63223793246942,100656.45513487603
46,2023-04-28 23:59:00,[-0.19134569  0.10966689],[-0.3174102   0.09065662],36.491084115190375,100692.94621899122
47,2023-04-29 00:59:00,[-0.3174102   0.09065662],[-0.32176435  0.06435613],-38.2611262464299,100654.68509274478
48,2023-04-29 01:59:00,[-0.32176435  0.06435613],[-0.16493957 -0.00503041],113.76014101297115,100768.44523375775
49,2023-04-29 02:59:00,[-0.16493957 -0.00503041],[-0.34048724  0.11407618],-35.42041384673287,100733.02481991102
50,2023-04-29 03:59:00,[-0.34048724  0.11407618],[-0.353918   -0.32626173],-60.17373010413997,100672.85108980688
51,2023-04-29 04:59:00,[-0.353918   -0.32626173],[-0.16525383 -0.30725893],85.4872694788975,100758.33835928577
52,2023-04-29 05:59:00,[-0.16525383 -0.30725893],[-0.35655576 -0.32775623],-94.93333346361896,100663.40502582215
53,2023-04-29 06:59:00,[-0.35655576 -0.32775623],[-0.30494788 -0.08547901],-49.84874499697963,100613.55628082517
54,2023-04-29 07:59:00,[-0.30494788 -0.08547901],[-0.34912413 -0.25794622],-23.854522210667643,100589.70175861451
55,2023-04-29 08:59:00,[-0.34912413 -0.25794622],[-0.3018629  -0.11394756],-34.78277183753848,100554.91898677697
56,2023-04-29 09:59:00,[-0.3018629  -0.11394756],[-0.17611794  0.06897682],109.87988872469872,100664.79887550167
57,2023-04-29 10:59:00,[-0.17611794  0.06897682],[-0.30242467  0.083044  ],11.21933878744412,100676.01821428911
58,2023-04-29 11:59:00,[-0.30242467  0.083044  ],[-0.13968976 -0.02319502],43.254059370565784,100719.27227365968
59,2023-04-29 12:59:00,[-0.13968976 -0.02319502],[-0.12235706  0.1867239 ],28.701117209765158,100747.97339086945
60,2023-04-29 13:59:00,[-0.12235706  0.1867239 ],[-0.3634328  -0.18911536],50.79280952964567,100798.7662003991
61,2023-04-29 14:59:00,[-0.3634328  -0.18911536],[-0.31376922 -0.13202451],26.239785298079767,100825.00598569718
62,2023-04-29 15:59:00,[-0.31376922 -0.13202451],[-0.32969448 -0.03020629],46.650033776950394,100871.65601947413
63,2023-04-29 16:59:00,[-0.32969448 -0.03020629],[-0.21847866 -0.38311875],30.18057374972216,100901.83659322385
64,2023-04-29 17:59:00,[-0.21847866 -0.38311875],[-0.32272545 -0.3771797 ],-142.8099894775871,100759.02660374627
