,Total Return,Annual Return,Annual Volatility,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,VaR (95%),CVaR (95%),Win Rate,Best Day,Worst Day
portfolio_1_ZeroCost,0.1376807715840509,0.031623845279652486,0.045419003846260526,0.6962690196089839,0.7011878882925869,0.4367021781637307,-0.07241513063348154,-0.0029448779156357185,-0.005448314947292534,0.5094217024041585,0.03368846103594003,-0.02722010549558318
portfolio_1_NonTrivialCosts,-0.8010992344632151,-0.3804873609338499,0.06810353013512305,-5.586896305946717,-5.408202414899117,-0.4743062121433117,-0.8021977178297752,-0.00569383831393561,-0.009205600399112722,0.3027940220922677,0.037410004469725866,-0.05242917745490816
portfolio_2_ZeroCost,0.02889126220415994,0.006797531397025011,0.00922548123886028,0.7368213344136375,0.7374992740597788,0.35462398697440933,-0.019168278646406228,-0.0005478066951800523,-0.0011389712885991484,0.5289148797920727,0.0034692069743098575,-0.005301103900220094
portfolio_2_NonTrivialCosts,-0.16697764469907983,-0.04312028553088683,0.020318593140821246,-2.122208227313516,-2.0849806261722756,-0.2349602542179212,-0.18352161591931876,-0.0017020487510379203,-0.0026239472949027383,0.4327485380116959,0.007620568008275708,-0.009018858238213356
portfolio_3_ZeroCost,0.03954273428160526,0.009816300427848468,0.035158431430111055,0.27920188781349914,0.2656885807333615,0.11313601781837072,-0.08676547590359437,-0.0024638701897094655,-0.004482522136735766,0.5016244314489928,0.010485294525543365,-0.020656715892689803
portfolio_3_NonTrivialCosts,-0.3281025304583117,-0.09113337054456346,0.0796723559170598,-1.1438518353773137,-1.200399684921451,-0.272786122594893,-0.334083602485538,-0.005073915590193678,-0.009334320765702344,0.43534762833008445,0.06519505024942762,-0.04934697553104128
