step,time,old_pos,new_pos,step_pnl,portfolio_value
0,2023-04-27 01:59:00,[0. 0. 0. 0. 0.],[-0.07750522  0.3217725   0.5         0.16520756  0.12245622],-118.69415044784546,99881.30584955215
1,2023-04-27 02:59:00,[-0.07750522  0.3217725   0.5         0.16520756  0.12245622],[ 0.02548401  0.23118442  0.34260428  0.27847952 -0.19646399],554.6849707811468,100435.9908203333
2,2023-04-27 03:59:00,[ 0.02548401  0.23118442  0.34260428  0.27847952 -0.19646399],[-0.15142395 -0.00483974  0.117275    0.29455268  0.42517495],-225.58560473356118,100210.40521559975
3,2023-04-27 04:59:00,[-0.15142395 -0.00483974  0.117275    0.29455268  0.42517495],[-0.11799639 -0.0551987   0.01341656  0.31645748  0.5       ],-406.96038350623274,99803.44483209352
4,2023-04-27 05:59:00,[-0.11799639 -0.0551987   0.01341656  0.31645748  0.5       ],[-0.01995314  0.07251696  0.06200146  0.26000077  0.49295628],-255.84404701928733,99547.60078507423
5,2023-04-27 06:59:00,[-0.01995314  0.07251696  0.06200146  0.26000077  0.49295628],[-0.21256326  0.20476615  0.05362419  0.37492692  0.07957038],-263.26048125284717,99284.34030382139
6,2023-04-27 07:59:00,[-0.21256326  0.20476615  0.05362419  0.37492692  0.07957038],[0.06311756 0.02947901 0.0817771  0.20958932 0.25596073],-120.49523205097037,99163.84507177041
7,2023-04-27 08:59:00,[0.06311756 0.02947901 0.0817771  0.20958932 0.25596073],[0.23078229 0.0995836  0.43502077 0.03156426 0.12842163],181.9713305653587,99345.81640233577
8,2023-04-27 09:59:00,[0.23078229 0.0995836  0.43502077 0.03156426 0.12842163],[-0.05150476  0.17783357  0.22882842  0.35719094  0.12137907],-102.65592557337104,99243.1604767624
9,2023-04-27 10:59:00,[-0.05150476  0.17783357  0.22882842  0.35719094  0.12137907],[-0.00959105  0.02376869  0.23843053  0.1496204   0.3973629 ],-71.65556054223363,99171.50491622016
10,2023-04-27 11:59:00,[-0.00959105  0.02376869  0.23843053  0.1496204   0.3973629 ],[-0.13432443  0.29902238  0.19779086  0.42626134 -0.05411993],-336.02474976216587,98835.480166458
11,2023-04-27 12:59:00,[-0.13432443  0.29902238  0.19779086  0.42626134 -0.05411993],[-0.00527723  0.29138932  0.15521479  0.44621968 -0.16675185],-35.273145739680075,98800.20702071833
12,2023-04-27 13:59:00,[-0.00527723  0.29138932  0.15521479  0.44621968 -0.16675185],[-0.01392809 -0.08779816 -0.31451067  0.4226276   0.46765324],-257.34693105661904,98542.86008966171
13,2023-04-27 14:59:00,[-0.01392809 -0.08779816 -0.31451067  0.4226276   0.46765324],[-0.00978319  0.35568532 -0.03810705  0.46431056 -0.01586258],41.45270466771592,98584.31279432942
14,2023-04-27 15:59:00,[-0.00978319  0.35568532 -0.03810705  0.46431056 -0.01586258],[ 0.05549433  0.17864744 -0.3826999   0.5        -0.13419886],-151.93831812494557,98432.37447620448
15,2023-04-27 16:59:00,[ 0.05549433  0.17864744 -0.3826999   0.5        -0.13419886],[ 0.01255016  0.2900466  -0.10757923  0.5        -0.22199178],40.27067049392893,98472.64514669841
16,2023-04-27 17:59:00,[ 0.01255016  0.2900466  -0.10757923  0.5        -0.22199178],[-0.01421678  0.25961506  0.5         0.19311363  0.28613704],76.51986139879108,98549.1650080972
17,2023-04-27 18:59:00,[-0.01421678  0.25961506  0.5         0.19311363  0.28613704],[ 0.00850811 -0.01107785  0.5        -0.02889978  0.36546403],614.3958312334981,99163.5608393307
18,2023-04-27 19:59:00,[ 0.00850811 -0.01107785  0.5        -0.02889978  0.36546403],[-0.2129651   0.06632714  0.16554777  0.2886747   0.31754863],-250.19524876000511,98913.3655905707
19,2023-04-27 20:59:00,[-0.2129651   0.06632714  0.16554777  0.2886747   0.31754863],[-0.10423167  0.20831639  0.5         0.2599536   0.19613239],-39.71131616426161,98873.65427440644
20,2023-04-27 21:59:00,[-0.10423167  0.20831639  0.5         0.2599536   0.19613239],[-0.10917229  0.014661    0.15941873  0.11266296  0.42430642],-82.85405789299867,98790.80021651344
21,2023-04-27 22:59:00,[-0.10917229  0.014661    0.15941873  0.11266296  0.42430642],[-0.11617057  0.16061622 -0.19522974  0.5        -0.06433075],-114.30653514187736,98676.49368137156
22,2023-04-27 23:59:00,[-0.11617057  0.16061622 -0.19522974  0.5        -0.06433075],[0.16695851 0.23562737 0.5        0.14665857 0.04613604],-70.17711454726356,98606.3165668243
23,2023-04-28 00:59:00,[0.16695851 0.23562737 0.5        0.14665857 0.04613604],[0.24865383 0.18550295 0.4230763  0.10670882 0.02759888],284.7409367533049,98891.05750357761
24,2023-04-28 01:59:00,[0.24865383 0.18550295 0.4230763  0.10670882 0.02759888],[0.06967446 0.15068564 0.5        0.03930224 0.17633031],-93.93669930755095,98797.12080427006
25,2023-04-28 02:59:00,[0.06967446 0.15068564 0.5        0.03930224 0.17633031],[-0.17476767  0.24825783  0.06434796  0.4155912  -0.32175282],-409.0189234742081,98388.10188079585
26,2023-04-28 03:59:00,[-0.17476767  0.24825783  0.06434796  0.4155912  -0.32175282],[-0.09701498  0.23691542  0.5         0.1300221   0.24222101],-100.88898873552411,98287.21289206033
27,2023-04-28 04:59:00,[-0.09701498  0.23691542  0.5         0.1300221   0.24222101],[-0.02294173  0.15914886 -0.11363237  0.41763997 -0.24281399],-748.2311365700201,97538.98175549031
28,2023-04-28 05:59:00,[-0.02294173  0.15914886 -0.11363237  0.41763997 -0.24281399],[ 0.05148265  0.0456381  -0.12317602  0.5         0.147364  ],-33.9526659113385,97505.02908957898
29,2023-04-28 06:59:00,[ 0.05148265  0.0456381  -0.12317602  0.5         0.147364  ],[ 0.21811575  0.1672592  -0.3324646   0.5        -0.00359804],5.981633178022605,97511.010722757
30,2023-04-28 07:59:00,[ 0.21811575  0.1672592  -0.3324646   0.5        -0.00359804],[-0.07813388  0.27737302  0.14422676  0.5         0.18222266],-383.7600482025207,97127.25067455448
31,2023-04-28 08:59:00,[-0.07813388  0.27737302  0.14422676  0.5         0.18222266],[ 0.01552629  0.1992259  -0.22206295  0.5        -0.13475908],-17.574038403859916,97109.67663615062
32,2023-04-28 09:59:00,[ 0.01552629  0.1992259  -0.22206295  0.5        -0.13475908],[ 0.14720258  0.2915887   0.3533936   0.3786366  -0.02062911],-84.32772406151753,97025.3489120891
33,2023-04-28 10:59:00,[ 0.14720258  0.2915887   0.3533936   0.3786366  -0.02062911],[ 0.08051216 -0.01235603 -0.20949015  0.5         0.16572975],-43.497231005162476,96981.85168108394
34,2023-04-28 11:59:00,[ 0.08051216 -0.01235603 -0.20949015  0.5         0.16572975],[ 0.1053946   0.3884896   0.5         0.12436759 -0.1531036 ],-23.24972204253126,96958.6019590414
35,2023-04-28 12:59:00,[ 0.1053946   0.3884896   0.5         0.12436759 -0.1531036 ],[0.07506489 0.20626774 0.33877346 0.11599913 0.03789698],-148.01898888142952,96810.58297015997
36,2023-04-28 13:59:00,[0.07506489 0.20626774 0.33877346 0.11599913 0.03789698],[ 0.00713614  0.27737677  0.3766577   0.1877077  -0.34658736],-60.3316393336528,96750.25133082632
37,2023-04-28 14:59:00,[ 0.00713614  0.27737677  0.3766577   0.1877077  -0.34658736],[-0.07456633  0.12641782  0.5         0.06090814  0.26855195],274.8556859018317,97025.10701672814
38,2023-04-28 15:59:00,[-0.07456633  0.12641782  0.5         0.06090814  0.26855195],[-0.10238735  0.20152044  0.2736548   0.34521258 -0.05959252],-124.86650575335995,96900.24051097478
39,2023-04-28 16:59:00,[-0.10238735  0.20152044  0.2736548   0.34521258 -0.05959252],[ 0.02334908  0.26358283  0.16713332  0.34040093 -0.17754844],-317.05545777272533,96583.18505320205
40,2023-04-28 17:59:00,[ 0.02334908  0.26358283  0.16713332  0.34040093 -0.17754844],[-0.03013145  0.3483272   0.46158797  0.3383128  -0.22550394],21.835243483623884,96605.02029668567
41,2023-04-28 18:59:00,[-0.03013145  0.3483272   0.46158797  0.3383128  -0.22550394],[-0.17262417  0.23731327  0.18057445  0.5        -0.20104764],-180.24897142157562,96424.7713252641
42,2023-04-28 19:59:00,[-0.17262417  0.23731327  0.18057445  0.5        -0.20104764],[-0.18671203  0.09562575  0.19442214  0.39912754  0.3616349 ],-83.87070707285679,96340.90061819124
43,2023-04-28 20:59:00,[-0.18671203  0.09562575  0.19442214  0.39912754  0.3616349 ],[-0.16670541  0.01849714 -0.24806744  0.5         0.41358617],-217.24467908394826,96123.6559391073
44,2023-04-28 21:59:00,[-0.16670541  0.01849714 -0.24806744  0.5         0.41358617],[0.07842168 0.36054543 0.30057657 0.27504382 0.0853443 ],98.28028531249618,96221.9362244198
45,2023-04-28 22:59:00,[0.07842168 0.36054543 0.30057657 0.27504382 0.0853443 ],[-0.14495912  0.07586091  0.5         0.16057776  0.4535191 ],-242.75175705100068,95979.1844673688
46,2023-04-28 23:59:00,[-0.14495912  0.07586091  0.5         0.16057776  0.4535191 ],[-0.24447796  0.08049128  0.45037237  0.2494893   0.40446424],-100.41246104821718,95878.77200632059
47,2023-04-29 00:59:00,[-0.24447796  0.08049128  0.45037237  0.2494893   0.40446424],[-0.19850697  0.20286258  0.5         0.20767188  0.21154575],-252.9969585997706,95625.77504772082
48,2023-04-29 01:59:00,[-0.19850697  0.20286258  0.5         0.20767188  0.21154575],[-0.17824823  0.00110704 -0.29352003  0.5         0.2461264 ],-269.02432162496666,95356.75072609585
49,2023-04-29 02:59:00,[-0.17824823  0.00110704 -0.29352003  0.5         0.2461264 ],[ 0.077268   -0.00468952  0.06088913  0.35666674  0.33269662],-303.55405321533635,95053.19667288051
50,2023-04-29 03:59:00,[ 0.077268   -0.00468952  0.06088913  0.35666674  0.33269662],[ 0.04439388  0.2948499   0.16446261  0.4321488  -0.11096413],-67.77027648568165,94985.42639639483
51,2023-04-29 04:59:00,[ 0.04439388  0.2948499   0.16446261  0.4321488  -0.11096413],[-0.05384729  0.20752555 -0.43634197  0.5        -0.09967072],-257.76899295216424,94727.65740344267
